season,player_name,receiving_yards,fantasy_pts,position,player_name_adp,pos_adp,team,adp,adp_formatted,times_drafted
2024,C.Patterson,80.0,39.50000034272671,RB,,,,,,
2024,C.Reynolds,40.0,20.900000631809235,RB,,,,,,
2024,C.Ridley,1017.0,201.20000261068344,WR,,,,,,
2024,C.Rodriguez,12.0,31.500000938773155,RB,,,,,,
2024,C.Rush,0.0,113.55999760329723,QB,,,,,,
2024,C.Samuel,334.0,89.80000085383654,WR,,,,,,
2024,C.Schrader,6.0,1.9000000357627869,RB,,,,,,
2024,C.Steele,26.0,27.900000646710396,RB,,,,,,
2024,C.Stover,161.0,41.100000225007534,TE,,,,,,
2024,C.Stroud,0.0,259.85999631136656,QB,,,,,,
2024,C.Sutton,1156.0,254.80000038444996,WR,,,,,,
2024,C.Tillman,339.0,80.40000121295452,WR,,,,,,
2024,C.Tune,0.0,-0.08000002801418304,QB,,,,,,
2024,C.Washington,14.0,2.399999976158142,WR,,,,,,
2024,C.Watson,620.0,105.3000014424324,WR,,,,,,
2024,C.Wentz,0.0,4.71999979019165,QB,,,,,,
2024,C.White,44.0,6.400000095367432,WR,,,,,,
2024,C.Williams,0.0,258.5399969816208,QB,,,,,,
2024,C.Wilson,211.0,51.94000053405762,WR,,,,,,
2024,C.Woerner,46.0,11.600000113248825,TE,,,,,,
2024,D.Achane,592.0,299.9000017270446,RB,,,,,,
2024,D.Adams,1063.0,239.3000032901764,WR,,,,,,
2024,D.Allen,52.0,18.200000166893005,TE,,,,,,
2024,D.Bell,27.0,5.700000047683716,WR,,,,,,
2024,D.Bellinger,125.0,26.50000011920929,TE,,,,,,
2024,D.Belton,0.0,1.0,SS,,,,,,
2024,D.Brown,537.0,112.30000141263008,WR,,,,,,
2024,D.Carr,0.0,148.89999852329493,QB,,,,,,
2024,D.Carter,72.0,16.20000010728836,WR,,,,,,
2024,D.Chark,41.0,15.100000083446503,WR,,,,,,
2024,D.Chisena,37.0,6.699999988079071,WR,,,,,,
2024,D.Cook,10.0,4.000000059604645,RB,,,,,,
2024,D.Culp,88.0,13.800000429153442,TE,,,,,,
2024,D.Dallas,11.0,15.000000052154064,RB,,,,,,
2024,D.Davis,116.0,41.20000034570694,WR,,,,,,
2024,D.Deablo,34.0,4.400000095367432,MLB,,,,,,
2024,D.Douglas,621.0,147.70000056177378,WR,,,,,,
2024,D.Duvernay,79.0,19.200000308454037,WR,,,,,,
2024,D.Eskridge,44.0,7.400000035762787,WR,,,,,,
2024,D.Evans,0.0,0.30000001192092896,RB,,,,,,
2024,D.Foreman,54.0,34.60000091046095,RB,,,,,,
